Round  89 	 Average Loss 1.480 	 Testing accuracy: 94.43 	 CommOverhead_PerIter: 10262265types 	 Time taken: 6752.71s
Round  90 	 Average Loss 1.481 	 Testing accuracy: 93.89 	 CommOverhead_PerIter: 10262265types 	 Time taken: 6829.19s
Round  91 	 Average Loss 1.480 	 Testing accuracy: 94.43 	 CommOverhead_PerIter: 10262265types 	 Time taken: 6905.44s
Round  92 	 Average Loss 1.480 	 Testing accuracy: 93.84 	 CommOverhead_PerIter: 10262265types 	 Time taken: 6976.99s
Round  93 	 Average Loss 1.480 	 Testing accuracy: 94.40 	 CommOverhead_PerIter: 10262265types 	 Time taken: 7036.26s
Round  94 	 Average Loss 1.481 	 Testing accuracy: 93.89 	 CommOverhead_PerIter: 10262265types 	 Time taken: 7107.45s
Round  95 	 Average Loss 1.480 	 Testing accuracy: 94.45 	 CommOverhead_PerIter: 10262265types 	 Time taken: 7183.05s
Round  96 	 Average Loss 1.480 	 Testing accuracy: 93.96 	 CommOverhead_PerIter: 10262265types 	 Time taken: 7255.55s
Round  97 	 Average Loss 1.480 	 Testing accuracy: 94.54 	 CommOverhead_PerIter: 10262265types 	 Time taken: 7327.74s
Round  98 	 Average Loss 1.480 	 Testing accuracy: 93.85 	 CommOverhead_PerIter: 10262265types 	 Time taken: 7400.26s
Round  99 	 Average Loss 1.480 	 Testing accuracy: 94.47 	 CommOverhead_PerIter: 10262265types 	 Time taken: 7471.34s

========TRAIN END========


===================DATA Round 0-99====================
Test Accuracy: [52.369998931884766, 77.01000213623047, 73.44000244140625, 85.43000030517578, 81.55000305175781, 87.81999969482422, 84.83000183105469, 89.08999633789062, 85.9000015258789, 89.55000305175781, 87.19999694824219, 90.1500015258789, 88.44999694824219, 90.61000061035156, 89.05000305175781, 90.80000305175781, 89.41000366210938, 91.22000122070312, 89.58000183105469, 91.45999908447266, 90.44000244140625, 91.83000183105469, 90.37999725341797, 91.91999816894531, 90.88999938964844, 92.12999725341797, 91.05999755859375, 92.23999786376953, 91.20999908447266, 92.44000244140625, 91.80000305175781, 92.61000061035156, 91.80999755859375, 92.80999755859375, 91.8499984741211, 92.83000183105469, 91.55000305175781, 92.98999786376953, 91.7300033569336, 93.2300033569336, 92.44999694824219, 93.18000030517578, 92.23999786376953, 93.12000274658203, 92.48999786376953, 93.33999633789062, 92.30000305175781, 93.43000030517578, 92.58999633789062, 93.36000061035156, 92.47000122070312, 93.5199966430664, 92.55999755859375, 93.55000305175781, 92.54000091552734, 93.7300033569336, 92.8499984741211, 93.6500015258789, 92.83999633789062, 93.76000213623047, 92.9000015258789, 93.80999755859375, 93.02999877929688, 93.86000061035156, 93.20999908447266, 93.70999908447266, 93.16000366210938, 93.86000061035156, 93.33999633789062, 93.87000274658203, 93.31999969482422, 93.94000244140625, 93.51000213623047, 93.94000244140625, 93.63999938964844, 94.06999969482422, 93.55999755859375, 94.05000305175781, 93.70999908447266, 94.2300033569336, 93.38999938964844, 94.31999969482422, 93.55000305175781, 94.3499984741211, 93.37000274658203, 94.3499984741211, 93.73999786376953, 94.38999938964844, 93.37999725341797, 94.43000030517578, 93.88999938964844, 94.43000030517578, 93.83999633789062, 94.4000015258789, 93.88999938964844, 94.44999694824219, 93.95999908447266, 94.54000091552734, 93.8499984741211, 94.47000122070312]
Train Loss: [1.511935954443614, 1.495597287297249, 1.4912974767287577, 1.4898285860856375, 1.4880349539836248, 1.4887327247540163, 1.487579229640961, 1.4867502293825146, 1.486904340942701, 1.486476140499115, 1.4858528472105659, 1.4861378829956056, 1.4859083472887675, 1.4851357689698537, 1.4856906862020498, 1.4852951290845868, 1.48434487323761, 1.4846824260552722, 1.4836932920535404, 1.4845821881930028, 1.4838390157461163, 1.4838946172078449, 1.48373467318217, 1.4838684366464614, 1.483835028219223, 1.4837533991336826, 1.4830499321460722, 1.484091426213583, 1.483473490111033, 1.4830749260346097, 1.4833163893143335, 1.4833780684709554, 1.4830977171421051, 1.4834093959093093, 1.4830901454607648, 1.4826708462238316, 1.4828492889642724, 1.4827577217658359, 1.4828110997279487, 1.4825306158542633, 1.4823689724922178, 1.4821931086301805, 1.4823968577146527, 1.482693382024765, 1.4825281331300737, 1.4824868205388386, 1.4827005389293033, 1.4821374745766327, 1.4819777243614192, 1.4823743423620857, 1.482076011808713, 1.4815868087927504, 1.482382748158773, 1.4822298927148183, 1.4822289263248447, 1.4818656620343527, 1.4815859607299169, 1.4813678769270582, 1.480960183167458, 1.4808092186530424, 1.4818335091749828, 1.481216423090299, 1.4817589938243236, 1.480991153581937, 1.4810931274890893, 1.4807550886789957, 1.4811962542295458, 1.4808301037629445, 1.481219702633222, 1.481353472781181, 1.48135942158699, 1.480530381870269, 1.481446691481272, 1.4806214209238688, 1.4810498626550037, 1.4805283170302712, 1.481416239658991, 1.4804804977416994, 1.4807136734644573, 1.480882726836204, 1.4805987720171612, 1.4799968220392858, 1.4804472814718872, 1.4801929711262387, 1.4807637175321573, 1.48034467318058, 1.480431918311119, 1.4806405261754987, 1.4807115142583849, 1.4802762765963875, 1.4805066060384116, 1.4798824846903482, 1.4803817058881124, 1.4797178389787675, 1.4808874969720847, 1.480467875250181, 1.4802806196212768, 1.479953509736061, 1.4801847886721295, 1.4801122945864993]
===================END Round 0-99====================
